"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SANYOU_SRD_Form_C";;;
2;"U3";"SEN17049";1;"SEN-17049";;;
3;"U4";"TO-220-3_Vertical";1;"LM35-NEB";;;
4;"U1";"DIP-16_W7.62mm";1;"74HC595";;;
5;"J3";"PinSocket_2x10_P2.54mm_Vertical";1;"OV7675 Camera Module";;;
6;"J1";"PinSocket_1x15_P2.54mm_Vertical";1;"L Arduino Mount";;;
7;"J2";"PinSocket_1x15_P2.54mm_Vertical";1;"R Arduino Mount";;;
8;"U2";"HDSP-7401";1;"HDSP-7401";;;
9;"BZ1";"Buzzer_15x7.5RM7.6";1;"Buzzer";;;
10;"U5";"SOT-23-5";1;"74AHC1G86";;;
11;"J4";"PinHeader_1x01_P2.54mm_Vertical";1;"To Main Elevator System";;;
12;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"4kΩ";;;
13;"R2,R3,R4,R5,R6,R7,R8,R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";8;"330Ω";;;
14;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"10uF";;;
15;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1uF";;;
16;"R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"75Ω";;;
17;"D1";"LED_D5.0mm_FlatTop";1;"LED";;;
